step,time,k_before,k_after
612,6.12,245.968,245.966
613,6.13,434.483,434.481
614,6.14,617.515,617.513
615,6.15,794.403,794.401
616,6.16,964.508,964.506
617,6.17,1127.21,1127.21
618,6.18,1281.93,1281.92
619,6.19,1428.08,1428.08
620,6.2,1565.14,1565.13
621,6.21,1692.59,1692.58
622,6.22,1809.95,1809.95
623,6.23,1916.78,1916.77
624,6.24,2012.65,2012.65
625,6.25,2097.18,2097.18
626,6.26,2170.03,2170.03
627,6.27,2230.88,2230.88
628,6.28,2279.45,2279.45
629,6.29,2315.51,2315.5
630,6.3,2338.83,2338.83
631,6.31,2349.26,2349.26
632,6.32,2346.67,2346.67
633,6.33,2330.96,2330.96
634,6.34,2302.09,2302.08
635,6.35,2260.02,2260.02
636,6.36,2204.8,2204.8
637,6.37,2136.47,2136.46
638,6.38,2055.13,2055.13
639,6.39,1960.92,1960.92
640,6.4,1854.01,1854
641,6.41,1734.6,1734.59
642,6.42,1602.94,1602.93
643,6.43,1459.3,1459.29
644,6.44,1303.99,1303.99
645,6.45,1137.36,1137.36
646,6.46,959.786,959.783
647,6.47,771.665,771.663
648,6.48,573.437,573.434
649,6.49,365.562,365.56
650,6.5,148.532,148.53
651,6.51,-77.1385,-77.1405
652,6.52,-310.911,-310.913
653,6.53,-552.225,-552.227
654,6.54,-800.497,-800.499
655,6.55,-1055.13,-1055.13
656,6.56,-1315.5,-1315.5
657,6.57,-1580.97,-1580.97
658,6.58,-1850.9,-1850.9
659,6.59,-2124.63,-2124.63
660,6.6,-2401.49,-2401.49
661,6.61,-2680.79,-2680.79
662,6.62,-2961.85,-2961.85
663,6.63,-3243.99,-3243.99
664,6.64,-3526.5,-3526.5
665,6.65,-3808.7,-3808.7
666,6.66,-4089.9,-4089.9
667,6.67,-4369.39,-4369.39
668,6.68,-4646.5,-4646.5
669,6.69,-4920.56,-4920.55
670,6.7,-5190.88,-5190.87
671,6.71,-5456.8,-5456.8
672,6.72,-5717.69,-5717.69
673,6.73,-5972.91,-5972.9
674,6.74,-6221.83,-6221.82
675,6.75,-6463.85,-6463.85
676,6.76,-6698.4,-6698.4
677,6.77,-6924.9,-6924.9
678,6.78,-7142.82,-7142.82
679,6.79,-7351.64,-7351.64
680,6.8,-7550.87,-7550.86
681,6.81,-7740.02,-7740.02
