Time (s)  Flap Rotation y (radians)Flap Rotation y (degrees)
6.705            -0.021878       -1.253499
6.720            -0.022081       -1.265168
6.735            -0.022286       -1.276878
6.750            -0.022491       -1.288629
6.765            -0.022697       -1.300419
6.780            -0.022903       -1.312248
6.795            -0.023110       -1.324114
6.810            -0.023318       -1.336015
6.825            -0.023526       -1.347950
6.840            -0.023735       -1.359915
6.855            -0.023944       -1.371909
6.870            -0.024154       -1.383929
6.885            -0.024364       -1.395973
6.900            -0.024575       -1.408037
6.915            -0.024786       -1.420118
6.930            -0.024997       -1.432214
6.945            -0.025208       -1.444320
6.960            -0.025420       -1.456434
6.975            -0.025631       -1.468551
6.990            -0.025843       -1.480667
7.005            -0.026054       -1.492779
7.020            -0.026265       -1.504882
7.035            -0.026476       -1.516972
7.050            -0.026687       -1.529044
7.065            -0.026897       -1.541094
7.080            -0.027107       -1.553118
7.095            -0.027316       -1.565110
7.110            -0.027525       -1.577065
7.125            -0.027733       -1.588979
7.140            -0.027940       -1.600847
7.155            -0.028146       -1.612663
7.170            -0.028352       -1.624422
7.185            -0.028556       -1.636120
7.200            -0.028759       -1.647751
7.215            -0.028960       -1.659309
7.230            -0.029161       -1.670790
7.245            -0.029360       -1.682188
7.260            -0.029557       -1.693498
7.275            -0.029753       -1.704714
7.290            -0.029947       -1.715831
7.305            -0.030139       -1.726844
7.320            -0.030329       -1.737748
7.335            -0.030518       -1.748537
7.350            -0.030704       -1.759206
7.365            -0.030888       -1.769750
7.380            -0.031070       -1.780163
7.395            -0.031249       -1.790441
7.410            -0.031426       -1.800578
7.425            -0.031600       -1.810570
7.440            -0.031772       -1.820411
7.455            -0.031941       -1.830097
7.470            -0.032107       -1.839622
7.485            -0.032271       -1.848983
7.500            -0.032431       -1.858173
7.515            -0.032589       -1.867189
7.530            -0.032743       -1.876026
7.545            -0.032894       -1.884680
7.560            -0.033042       -1.893145
7.575            -0.033186       -1.901419
7.590            -0.033327       -1.909496
7.605            -0.033464       -1.917372
7.620            -0.033598       -1.925043
7.635            -0.033729       -1.932506
7.650            -0.033855       -1.939755
7.665            -0.033978       -1.946788
7.680            -0.034097       -1.953601
7.695            -0.034212       -1.960189
7.710            -0.034323       -1.966549
7.725            -0.034430       -1.972678
7.740            -0.034533       -1.978572
7.755            -0.034631       -1.984228
7.770            -0.034726       -1.989642
7.785            -0.034816       -1.994811
7.800            -0.034902       -1.999732
7.815            -0.034983       -2.004402
7.830            -0.035060       -2.008817
7.845            -0.035133       -2.012975
7.860            -0.035201       -2.016873
7.875            -0.035265       -2.020507
7.890            -0.035323       -2.023876
7.905            -0.035377       -2.026976
7.920            -0.035427       -2.029805
7.935            -0.035471       -2.032360
7.950            -0.035511       -2.034639
7.965            -0.035546       -2.036639
7.980            -0.035576       -2.038358
7.995            -0.035601       -2.039793
8.010            -0.035621       -2.040943
8.025            -0.035636       -2.041806
8.040            -0.035646       -2.042378
8.055            -0.035651       -2.042659
8.070            -0.035651       -2.042646
8.085            -0.035646       -2.042337
8.100            -0.035635       -2.041732
8.115            -0.035619       -2.040827
8.130            -0.035598       -2.039622
8.145            -0.035572       -2.038115
8.160            -0.035540       -2.036304
8.175            -0.035503       -2.034189
8.190            -0.035461       -2.031768
8.205            -0.035413       -2.029040
8.220            -0.035360       -2.026004
8.235            -0.035302       -2.022659
8.250            -0.035238       -2.019003
8.265            -0.035169       -2.015038
8.280            -0.035094       -2.010761
8.295            -0.035014       -2.006173
8.310            -0.034929       -2.001273
8.325            -0.034838       -1.996060
8.340            -0.034741       -1.990535
8.355            -0.034639       -1.984697
8.370            -0.034532       -1.978547
8.385            -0.034419       -1.972085
8.400            -0.034301       -1.965310
8.415            -0.034177       -1.958224
8.430            -0.034048       -1.950827
8.445            -0.033914       -1.943120
8.460            -0.033774       -1.935103
