Time (s)  Flap Rotation y (radians)Flap Rotation y (degrees)
14.49               0.0110          0.6288
14.52               0.0124          0.7120
14.55               0.0139          0.7950
14.58               0.0153          0.8780
14.61               0.0168          0.9608
14.64               0.0182          1.0436
14.67               0.0197          1.1262
14.70               0.0211          1.2087
14.73               0.0225          1.2910
14.76               0.0240          1.3732
14.79               0.0254          1.4552
14.82               0.0268          1.5371
14.85               0.0283          1.6188
14.88               0.0297          1.7003
14.91               0.0311          1.7817
14.94               0.0325          1.8628
14.97               0.0339          1.9438
15.00               0.0353          2.0245
15.03               0.0367          2.1050
15.06               0.0381          2.1853
15.09               0.0395          2.2654
15.12               0.0409          2.3452
15.15               0.0423          2.4248
15.18               0.0437          2.5041
15.21               0.0451          2.5831
15.24               0.0465          2.6619
15.27               0.0478          2.7404
15.30               0.0492          2.8186
15.33               0.0506          2.8966
15.36               0.0519          2.9742
15.39               0.0533          3.0515
15.42               0.0546          3.1285
15.45               0.0559          3.2052
15.48               0.0573          3.2816
15.51               0.0586          3.3576
15.54               0.0599          3.4332
15.57               0.0612          3.5086
15.60               0.0625          3.5835
15.63               0.0638          3.6581
15.66               0.0651          3.7323
15.69               0.0664          3.8062
15.72               0.0677          3.8796
15.75               0.0690          3.9527
15.78               0.0703          4.0253
15.81               0.0715          4.0976
15.84               0.0728          4.1694
15.87               0.0740          4.2409
15.90               0.0753          4.3118
15.93               0.0765          4.3824
15.96               0.0777          4.4525
15.99               0.0789          4.5222
16.02               0.0801          4.5914
16.05               0.0813          4.6601
16.08               0.0825          4.7284
16.11               0.0837          4.7962
16.14               0.0849          4.8635
16.17               0.0861          4.9303
16.20               0.0872          4.9967
16.23               0.0884          5.0625
16.26               0.0895          5.1278
16.29               0.0906          5.1926
16.32               0.0918          5.2569
16.35               0.0929          5.3207
16.38               0.0940          5.3839
16.41               0.0951          5.4466
16.44               0.0961          5.5088
16.47               0.0972          5.5704
16.50               0.0983          5.6314
16.53               0.0993          5.6919
16.56               0.1004          5.7518
16.59               0.1014          5.8112
16.62               0.1025          5.8700
16.65               0.1035          5.9282
16.68               0.1045          5.9858
16.71               0.1055          6.0428
16.74               0.1065          6.0992
16.77               0.1074          6.1550
