Time (s)  Flap Rotation y (radians)Flap Rotation y (degrees)
7.620            -0.033397       -1.913490
7.635            -0.033526       -1.920891
7.650            -0.033651       -1.928083
7.665            -0.033773       -1.935062
7.680            -0.033891       -1.941825
7.695            -0.034005       -1.948368
7.710            -0.034116       -1.954686
7.725            -0.034222       -1.960778
7.740            -0.034324       -1.966639
7.755            -0.034423       -1.972266
7.770            -0.034517       -1.977656
7.785            -0.034606       -1.982806
7.800            -0.034692       -1.987713
7.815            -0.034773       -1.992373
7.830            -0.034850       -1.996784
7.845            -0.034923       -2.000942
7.860            -0.034991       -2.004845
7.875            -0.035055       -2.008491
7.890            -0.035114       -2.011875
7.905            -0.035168       -2.014997
7.920            -0.035218       -2.017852
7.935            -0.035263       -2.020440
7.950            -0.035304       -2.022756
7.965            -0.035339       -2.024799
7.980            -0.035370       -2.026566
7.995            -0.035396       -2.028056
8.010            -0.035417       -2.029265
8.025            -0.035434       -2.030193
8.040            -0.035445       -2.030836
8.055            -0.035451       -2.031192
8.070            -0.035452       -2.031261
8.085            -0.035448       -2.031040
8.100            -0.035439       -2.030526
8.115            -0.035425       -2.029720
8.130            -0.035406       -2.028618
8.145            -0.035382       -2.027220
8.160            -0.035352       -2.025523
8.175            -0.035317       -2.023527
8.190            -0.035277       -2.021231
8.205            -0.035232       -2.018633
8.220            -0.035181       -2.015731
8.235            -0.035125       -2.012526
8.250            -0.035064       -2.009016
8.265            -0.034997       -2.005200
8.280            -0.034925       -2.001078
8.295            -0.034848       -1.996650
8.310            -0.034765       -1.991913
8.325            -0.034677       -1.986869
8.340            -0.034584       -1.981517
8.355            -0.034485       -1.975857
8.370            -0.034381       -1.969889
8.385            -0.034272       -1.963613
8.400            -0.034157       -1.957029
8.415            -0.034036       -1.950137
8.430            -0.033911       -1.942938
8.445            -0.033780       -1.935432
8.460            -0.033643       -1.927621
8.475            -0.033502       -1.919504
8.490            -0.033355       -1.911083
8.505            -0.033202       -1.902358
8.520            -0.033045       -1.893332
8.535            -0.032882       -1.884004
8.550            -0.032714       -1.874377
8.565            -0.032541       -1.864451
8.580            -0.032362       -1.854229
8.595            -0.032179       -1.843711
8.610            -0.031990       -1.832899
8.625            -0.031796       -1.821796
8.640            -0.031598       -1.810404
8.655            -0.031394       -1.798723
8.670            -0.031185       -1.786756
8.685            -0.030971       -1.774505
8.700            -0.030752       -1.761973
8.715            -0.030529       -1.749161
8.730            -0.030300       -1.736071
8.745            -0.030067       -1.722707
8.760            -0.029829       -1.709070
8.775            -0.029586       -1.695162
8.790            -0.029339       -1.680986
8.805            -0.029087       -1.666544
8.820            -0.028830       -1.651839
8.835            -0.028569       -1.636872
8.850            -0.028303       -1.621647
8.865            -0.028033       -1.606165
8.880            -0.027758       -1.590429
8.895            -0.027479       -1.574441
8.910            -0.027196       -1.558204
8.925            -0.026908       -1.541718
8.940            -0.026616       -1.524987
8.955            -0.026320       -1.508012
8.970            -0.026019       -1.490796
8.985            -0.025715       -1.473340
9.000            -0.025406       -1.455646
9.015            -0.025093       -1.437716
9.030            -0.024776       -1.419551
9.045            -0.024455       -1.401153
9.060            -0.024130       -1.382523
9.075            -0.023800       -1.363663
9.090            -0.023467       -1.344573
9.105            -0.023130       -1.325255
9.120            -0.022789       -1.305710
9.135            -0.022444       -1.285938
9.150            -0.022095       -1.265940
9.165            -0.021742       -1.245717
9.180            -0.021385       -1.225270
9.195            -0.021024       -1.204598
9.210            -0.020659       -1.183701
9.225            -0.020291       -1.162581
9.240            -0.019918       -1.141236
9.255            -0.019542       -1.119667
9.270            -0.019162       -1.097874
9.285            -0.018777       -1.075855
9.300            -0.018389       -1.053612
9.315            -0.017997       -1.031142
9.330            -0.017601       -1.008446
9.345            -0.017201       -0.985522
9.360            -0.016797       -0.962371
9.375            -0.016388       -0.938990
9.390            -0.015976       -0.915379
9.405            -0.015560       -0.891538
9.420            -0.015140       -0.867464
9.435            -0.014716       -0.843157
9.450            -0.014288       -0.818616
9.465            -0.013855       -0.793840
9.480            -0.013419       -0.768827
9.495            -0.012978       -0.743577
9.510            -0.012533       -0.718087
9.525            -0.012084       -0.692358
9.540            -0.011631       -0.666388
9.555            -0.011173       -0.640176
9.570            -0.010711       -0.613721
9.585            -0.010245       -0.587022
9.600            -0.009775       -0.560078
9.615            -0.009301       -0.532888
9.630            -0.008822       -0.505453
9.645            -0.008339       -0.477770
9.660            -0.007851       -0.449841
9.675            -0.007359       -0.421664
9.690            -0.006863       -0.393240
9.705            -0.006363       -0.364568
9.720            -0.005858       -0.335648
9.735            -0.005349       -0.306481
9.750            -0.004836       -0.277068
9.765            -0.004318       -0.247409
9.780            -0.003796       -0.217505
9.795            -0.003270       -0.187356
9.810            -0.002740       -0.156965
9.825            -0.002205       -0.126333
9.840            -0.001666       -0.095460
9.855            -0.001123       -0.064351
9.870            -0.000576       -0.033005
9.885            -0.000025       -0.001427
9.900             0.000530        0.030382
9.915             0.001089        0.062419
9.930             0.001652        0.094681
9.945             0.002219        0.127164
9.960             0.002790        0.159865
9.975             0.003365        0.192780
9.990             0.003943        0.225905
10.005            0.004525        0.259236
10.020            0.005110        0.292768
10.035            0.005698        0.326497
10.050            0.006290        0.360418
10.065            0.006886        0.394526
10.080            0.007484        0.428815
10.095            0.008086        0.463280
10.110            0.008690        0.497914
10.125            0.009298        0.532713
10.140            0.009908        0.567670
10.155            0.010520        0.602778
10.170            0.011136        0.638031
10.185            0.011753        0.673423
10.200            0.012373        0.708946
10.215            0.012996        0.744594
10.230            0.013620        0.780359
10.245            0.014246        0.816235
10.260            0.014874        0.852213
10.275            0.015504        0.888287
10.290            0.016135        0.924448
10.305            0.016767        0.960690
10.320            0.017401        0.997003
10.335            0.018036        1.033381
10.350            0.018672        1.069816
10.365            0.019309        1.106300
10.380            0.019946        1.142824
10.395            0.020584        1.179380
10.410            0.021223        1.215961
10.425            0.021861        1.252559
10.440            0.022500        1.289165
10.455            0.023139        1.325771
10.470            0.023778        1.362370
10.485            0.024416        1.398953
10.500            0.025054        1.435513
10.515            0.025692        1.472041
10.530            0.026329        1.508529
10.545            0.026965        1.544970
10.560            0.027600        1.581357
10.575            0.028234        1.617680
10.590            0.028867        1.653933
10.605            0.029498        1.690109
10.620            0.030128        1.726199
10.635            0.030756        1.762197
10.650            0.031383        1.798095
10.665            0.032007        1.833886
10.680            0.032630        1.869563
10.695            0.033251        1.905120
10.710            0.033869        1.940549
10.725            0.034485        1.975843
10.740            0.035099        2.010998
10.755            0.035710        2.046005
10.770            0.036318        2.080859
10.785            0.036923        2.115554
10.800            0.037526        2.150083
10.815            0.038126        2.184441
10.830            0.038722        2.218623
10.845            0.039316        2.252621
10.860            0.039906        2.286433
10.875            0.040493        2.320051
10.890            0.041076        2.353470
10.905            0.041656        2.386687
10.920            0.042232        2.419695
10.935            0.042804        2.452491
10.950            0.043373        2.485069
10.965            0.043937        2.517425
10.980            0.044498        2.549555
10.995            0.045055        2.581455
11.010            0.045608        2.613120
11.025            0.046156        2.644547
11.040            0.046700        2.675731
11.055            0.047240        2.706670
11.070            0.047776        2.737359
11.085            0.048307        2.767795
11.100            0.048834        2.797975
11.115            0.049356        2.827896
11.130            0.049874        2.857553
11.145            0.050387        2.886946
11.160            0.050895        2.916069
11.175            0.051399        2.944922
11.190            0.051897        2.973500
11.205            0.052391        3.001802
11.220            0.052880        3.029825
11.235            0.053365        3.057566
11.250            0.053844        3.085024
11.265            0.054318        3.112196
11.280            0.054787        3.139079
11.295            0.055251        3.165673
11.310            0.055710        3.191974
11.325            0.056164        3.217982
11.340            0.056613        3.243693
11.355            0.057057        3.269107
11.370            0.057495        3.294222
11.385            0.057928        3.319037
11.400            0.058356        3.343548
11.415            0.058778        3.367757
11.430            0.059196        3.391660
11.445            0.059607        3.415256
11.460            0.060014        3.438545
11.475            0.060415        3.461525
11.490            0.060811        3.484195
11.505            0.061201        3.506553
11.520            0.061586        3.528600
11.535            0.061965        3.550333
11.550            0.062339        3.571752
11.565            0.062707        3.592855
11.580            0.063070        3.613642
11.595            0.063427        3.634113
11.610            0.063779        3.654266
11.625            0.064125        3.674100
11.640            0.064466        3.693614
11.655            0.064801        3.712809
11.670            0.065130        3.731683
11.685            0.065454        3.750235
11.700            0.065772        3.768465
11.715            0.066085        3.786372
11.730            0.066392        3.803955
11.745            0.066693        3.821214
11.760            0.066988        3.838148
11.775            0.067278        3.854756
11.790            0.067562        3.871038
11.805            0.067841        3.886992
11.820            0.068114        3.902619
11.835            0.068381        3.917917
11.850            0.068642        3.932885
11.865            0.068897        3.947523
